source,level,label,support,proportion_of_assignments
bio.tools,level2_fine_grained,Data mining,136,0.00251763
bio.tools,level2_fine_grained,Structure analysis,133,0.0024621
bio.tools,level2_fine_grained,Microbiology,133,0.0024621
bio.tools,level2_fine_grained,Medical informatics,131,0.00242507
bio.tools,level2_fine_grained,Protein structure analysis,130,0.00240656
bio.tools,level2_fine_grained,Software engineering,130,0.00240656
bio.tools,level2_fine_grained,"Protein folding, stability and design",129,0.00238805
bio.tools,level2_fine_grained,Pharmacology,129,0.00238805
bio.tools,level2_fine_grained,Data management,125,0.002314
bio.tools,level2_fine_grained,Biobank,125,0.002314
bio.tools,level2_fine_grained,Chromosome conformation capture,124,0.00229549
bio.tools,level2_fine_grained,Computational biology,123,0.00227698
bio.tools,level2_fine_grained,Medicinal chemistry,123,0.00227698
bio.tools,level2_fine_grained,Biophysics,122,0.00225846
bio.tools,level2_fine_grained,Methylated DNA immunoprecipitation,116,0.00214739
bio.tools,level2_fine_grained,Enzymes,113,0.00209186
bio.tools,level2_fine_grained,Protein structural motifs and surfaces,112,0.00207334
bio.tools,level2_fine_grained,Rare diseases,108,0.0019993
bio.tools,level2_fine_grained,Database management,108,0.0019993
bio.tools,level2_fine_grained,Structural variation,102,0.00188822
bio.tools,level2_fine_grained,Data quality management,101,0.00186971
bio.tools,level2_fine_grained,Mobile genetic elements,99,0.00183269
bio.tools,level2_fine_grained,Biomedical science,99,0.00183269
bio.tools,level2_fine_grained,Informatics,97,0.00179566
bio.tools,level2_fine_grained,Virology,96,0.00177715
bio.tools,level2_fine_grained,Biological databases,95,0.00175864
bio.tools,level2_fine_grained,Human biology,93,0.00172162
bio.tools,level2_fine_grained,RNA immunoprecipitation,89,0.00164757
bio.tools,level2_fine_grained,Drug metabolism,89,0.00164757
bio.tools,level2_fine_grained,Neurology,87,0.00161054
bio.tools,level2_fine_grained,Electron microscopy,87,0.00161054
bio.tools,level2_fine_grained,Biodiversity,84,0.00155501
bio.tools,level2_fine_grained,Drug development,82,0.00151798
bio.tools,level2_fine_grained,Protein binding sites,79,0.00146245
bio.tools,level2_fine_grained,Gene structure,78,0.00144394
bio.tools,level2_fine_grained,PCR experiment,78,0.00144394
bio.tools,level2_fine_grained,Sample collections,78,0.00144394
bio.tools,level2_fine_grained,RNA-seq,78,0.00144394
bio.tools,level2_fine_grained,Lipids,76,0.00140691
bio.tools,level2_fine_grained,ChIP-on-chip,75,0.0013884
bio.tools,level2_fine_grained,Membrane and lipoproteins,74,0.00136989
bio.tools,level2_fine_grained,Nucleic acids,74,0.00136989
bio.tools,level2_fine_grained,Biochemistry,71,0.00131435
bio.tools,level2_fine_grained,Compound libraries and screening,71,0.00131435
bio.tools,level2_fine_grained,Simulation experiment,71,0.00131435
bio.tools,level2_fine_grained,Surgery,70,0.00129584
bio.tools,level2_fine_grained,"Data submission, annotation and curation",70,0.00129584
bio.tools,level2_fine_grained,"Protein sites, features and motifs",69,0.00127733
bio.tools,level2_fine_grained,Data acquisition,67,0.0012403
bio.tools,level2_fine_grained,Experimental design and studies,65,0.00120328
bio.tools,level2_fine_grained,Immunology,65,0.00120328
bio.tools,level2_fine_grained,Protein secondary structure,65,0.00120328
bio.tools,level2_fine_grained,DNA structural variation,63,0.00116626
bio.tools,level2_fine_grained,Comparative genomics,62,0.00114774
bio.tools,level2_fine_grained,Protein interaction experiment,62,0.00114774
bio.tools,level2_fine_grained,Immunogenetics,60,0.00111072
bio.tools,level2_fine_grained,Single-cell sequencing,60,0.00111072
bio.tools,level2_fine_grained,Laboratory techniques,59,0.00109221
bio.tools,level2_fine_grained,Biotechnology,57,0.00105518
bio.tools,level2_fine_grained,"Allergy, clinical immunology and immunotherapeutics",57,0.00105518
bio.tools,level2_fine_grained,Pharmacogenomics,56,0.00103667
bio.tools,level2_fine_grained,"Sequence composition, complexity and repeats",54,0.00099965
bio.tools,level2_fine_grained,Metatranscriptomics,53,0.00098114
bio.tools,level2_fine_grained,"Nucleic acid sites, features and motifs",51,0.00094411
bio.tools,level2_fine_grained,Functional genomics,50,0.0009256
bio.tools,level2_fine_grained,Computational chemistry,50,0.0009256
bio.tools,level2_fine_grained,Copy number variation,50,0.0009256
bio.tools,level2_fine_grained,Cardiology,50,0.0009256
bio.tools,level2_fine_grained,Omics,49,0.00090709
bio.tools,level2_fine_grained,Genetic engineering,49,0.00090709
bio.tools,level2_fine_grained,Multiomics,48,0.00088858
bio.tools,level2_fine_grained,Toxicology,48,0.00088858
bio.tools,level2_fine_grained,X-ray diffraction,47,0.00087006
bio.tools,level2_fine_grained,Population genomics,47,0.00087006
bio.tools,level2_fine_grained,Structural biology,46,0.00085155
bio.tools,level2_fine_grained,Anatomy,44,0.00081453
bio.tools,level2_fine_grained,Function analysis,44,0.00081453
bio.tools,level2_fine_grained,Data integration and warehousing,44,0.00081453
bio.tools,level2_fine_grained,Phenomics,42,0.0007775
bio.tools,level2_fine_grained,Nutritional science,39,0.00072197
bio.tools,level2_fine_grained,Protein targeting and localisation,39,0.00072197
bio.tools,level2_fine_grained,Synthetic biology,38,0.00070346
bio.tools,level2_fine_grained,Environmental science,37,0.00068494
bio.tools,level2_fine_grained,Bioengineering,35,0.00064792
bio.tools,level2_fine_grained,Bioimaging,34,0.00062941
bio.tools,level2_fine_grained,Light microscopy,34,0.00062941
bio.tools,level2_fine_grained,DNA binding sites,33,0.0006109
bio.tools,level2_fine_grained,Molecular evolution,32,0.00059238
bio.tools,level2_fine_grained,Biotherapeutics,32,0.00059238
bio.tools,level2_fine_grained,Echography,31,0.00057387
bio.tools,level2_fine_grained,"Data architecture, analysis and design",30,0.00055536
bio.tools,level2_fine_grained,Proteogenomics,30,0.00055536
bio.tools,level2_fine_grained,Data security,30,0.00055536
bio.tools,level2_fine_grained,Molecular genetics,28,0.00051834
bio.tools,level2_fine_grained,Psychiatry,27,0.00049982
bio.tools,level2_fine_grained,Cladistics,27,0.00049982
bio.tools,level2_fine_grained,Cybersecurity,26,0.00048131
bio.tools,level2_fine_grained,Biological imaging,26,0.00048131
bio.tools,level2_fine_grained,Biomolecular simulation,26,0.00048131
bio.tools,level2_fine_grained,Safety sciences,24,0.00044429
bio.tools,level2_fine_grained,DNA packaging,24,0.00044429
bio.tools,level2_fine_grained,Protein properties,23,0.00042578
bio.tools,level2_fine_grained,DNA mutation,23,0.00042578
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcba880>,22,0.00040726
bio.tools,level2_fine_grained,Quality affairs,22,0.00040726
bio.tools,level2_fine_grained,Human genetics,22,0.00040726
bio.tools,level2_fine_grained,Epistasis,22,0.00040726
bio.tools,level2_fine_grained,Immunoinformatics,21,0.00038875
bio.tools,level2_fine_grained,DNA replication and recombination,20,0.00037024
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b33e0>,20,0.00037024
bio.tools,level2_fine_grained,Data identity and mapping,19,0.00035173
bio.tools,level2_fine_grained,Paediatrics,19,0.00035173
bio.tools,level2_fine_grained,Fluxomics,19,0.00035173
bio.tools,level2_fine_grained,Long-read sequencing,18,0.00033322
bio.tools,level2_fine_grained,Applied mathematics,18,0.00033322
bio.tools,level2_fine_grained,Laboratory information management,18,0.00033322
bio.tools,level2_fine_grained,"Immunoproteins, genes and antigens",18,0.00033322
bio.tools,level2_fine_grained,Antimicrobial resistance,17,0.0003147
bio.tools,level2_fine_grained,Urology and nephrology,17,0.0003147
bio.tools,level2_fine_grained,Musculoskeletal medicine,17,0.0003147
bio.tools,level2_fine_grained,Vaccinology,17,0.0003147
bio.tools,level2_fine_grained,Analytical chemistry,17,0.0003147
bio.tools,level2_fine_grained,Protein variants,17,0.0003147
bio.tools,level2_fine_grained,Geriatric medicine,17,0.0003147
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22dc40>,17,0.0003147
bio.tools,level2_fine_grained,Data curation and archival,16,0.00029619
bio.tools,level2_fine_grained,Immunoprecipitation experiment,16,0.00029619
bio.tools,level2_fine_grained,Protein disordered structure,16,0.00029619
bio.tools,level2_fine_grained,Genotyping experiment,14,0.00025917
bio.tools,level2_fine_grained,Structural genomics,13,0.00024066
bio.tools,level2_fine_grained,Open science,13,0.00024066
bio.tools,level2_fine_grained,Marine biology,13,0.00024066
bio.tools,level2_fine_grained,Respiratory medicine,13,0.00024066
bio.tools,level2_fine_grained,NGS,13,0.00024066
bio.tools,level2_fine_grained,Quantitative genetics,13,0.00024066
bio.tools,level2_fine_grained,Carbohydrates,13,0.00024066
bio.tools,level2_fine_grained,Translational medicine,13,0.00024066
bio.tools,level2_fine_grained,Paleogenomics,13,0.00024066
bio.tools,level2_fine_grained,Biosciences,12,0.00022214
bio.tools,level2_fine_grained,FAIR data,12,0.00022214
bio.tools,level2_fine_grained,Parasitology,12,0.00022214
bio.tools,level2_fine_grained,Synthetic chemistry,12,0.00022214
bio.tools,level2_fine_grained,Regenerative medicine,12,0.00022214
bio.tools,level2_fine_grained,ATAC-seq,11,0.00020363
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcbbae0>,11,0.00020363
bio.tools,level2_fine_grained,Medicines research and development,10,0.00018512
bio.tools,level2_fine_grained,Developmental biology,10,0.00018512
bio.tools,level2_fine_grained,Pure mathematics,10,0.00018512
bio.tools,level2_fine_grained,Pharmacovigilance,10,0.00018512
bio.tools,level2_fine_grained,Critical care medicine,10,0.00018512
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbdb3e0>,10,0.00018512
bio.tools,level2_fine_grained,Tropical medicine,9,0.00016661
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcb8200>,9,0.00016661
bio.tools,level2_fine_grained,Data governance,9,0.00016661
bio.tools,level2_fine_grained,Gynaecology and obstetrics,9,0.00016661
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22dfc0>,9,0.00016661
bio.tools,level2_fine_grained,Electroencephalography,8,0.0001481
bio.tools,level2_fine_grained,Animal study,8,0.0001481
bio.tools,level2_fine_grained,Complementary medicine,8,0.0001481
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x752592baace0>,8,0.0001481
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce93ae0>,8,0.0001481
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce92f80>,8,0.0001481
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22e500>,8,0.0001481
bio.tools,level2_fine_grained,Lipidomics,7,0.00012958
bio.tools,level2_fine_grained,Cryogenic electron microscopy,7,0.00012958
bio.tools,level2_fine_grained,Molecular medicine,7,0.00012958
bio.tools,level2_fine_grained,Laboratory animal science,7,0.00012958
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcbbca0>,7,0.00012958
bio.tools,level2_fine_grained,Chemical biology,7,0.00012958
bio.tools,level2_fine_grained,Genome resequencing,6,0.00011107
bio.tools,level2_fine_grained,Biomaterials,6,0.00011107
bio.tools,level2_fine_grained,Neutron diffraction,6,0.00011107
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcb84a0>,6,0.00011107
bio.tools,level2_fine_grained,Assembly,6,0.00011107
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75259047b840>,6,0.00011107
bio.tools,level2_fine_grained,Systems medicine,6,0.00011107
bio.tools,level2_fine_grained,Freshwater biology,6,0.00011107
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce920a0>,6,0.00011107
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbda180>,6,0.00011107
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258b281d20>,6,0.00011107
bio.tools,level2_fine_grained,Electrocardiography,5,9.256e-05
bio.tools,level2_fine_grained,Hi-C,5,9.256e-05
bio.tools,level2_fine_grained,Ribosome Profiling,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b2b20>,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b2340>,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcbb840>,5,9.256e-05
bio.tools,level2_fine_grained,RNAi experiment,5,9.256e-05
bio.tools,level2_fine_grained,Reproductive health,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3ba180>,5,9.256e-05
bio.tools,level2_fine_grained,Immunomics,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e8903c0>,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd8820>,5,9.256e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258c80e420>,5,9.256e-05
bio.tools,level2_fine_grained,Data protection,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e891460>,4,7.405e-05
bio.tools,level2_fine_grained,Gender medicine,4,7.405e-05
bio.tools,level2_fine_grained,Carbon cycle,4,7.405e-05
bio.tools,level2_fine_grained,Pain medicine,4,7.405e-05
bio.tools,level2_fine_grained,Metabarcoding,4,7.405e-05
bio.tools,level2_fine_grained,Veterinary medicine,4,7.405e-05
bio.tools,level2_fine_grained,Gastroenterology,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22c740>,4,7.405e-05
bio.tools,level2_fine_grained,Next generation sequencing,4,7.405e-05
bio.tools,level2_fine_grained,Biological networks,4,7.405e-05
bio.tools,level2_fine_grained,Haematology,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce92ce0>,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce93840>,4,7.405e-05
bio.tools,level2_fine_grained,Microbial collection,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd9a80>,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258c80e5e0>,4,7.405e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e890580>,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e8919a0>,3,5.554e-05
bio.tools,level2_fine_grained,Microfluidics,3,5.554e-05
bio.tools,level2_fine_grained,Mouse clinic,3,5.554e-05
bio.tools,level2_fine_grained,Short-read sequencing,3,5.554e-05
bio.tools,level2_fine_grained,Clone library,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x752590d3edc0>,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x752592268900>,3,5.554e-05
bio.tools,level2_fine_grained,Cancer,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e893060>,3,5.554e-05
bio.tools,level2_fine_grained,Cytogenetics,3,5.554e-05
bio.tools,level2_fine_grained,Dermatology,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce92b20>,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce92a40>,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22fbc0>,3,5.554e-05
bio.tools,level2_fine_grained,Dentistry,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd8c80>,3,5.554e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b0820>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e8912a0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75259047a420>,2,3.702e-05
bio.tools,level2_fine_grained,Topic,2,3.702e-05
bio.tools,level2_fine_grained,Acoustics,2,3.702e-05
bio.tools,level2_fine_grained,Ophthalmology,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b3a00>,2,3.702e-05
bio.tools,level2_fine_grained,Environmental sciences,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcb8e40>,2,3.702e-05
bio.tools,level2_fine_grained,Bisulfite sequencing,2,3.702e-05
bio.tools,level2_fine_grained,DNA methylation,2,3.702e-05
bio.tools,level2_fine_grained,Transcription factors,2,3.702e-05
bio.tools,level2_fine_grained,Protein families,2,3.702e-05
bio.tools,level2_fine_grained,Microbiome,2,3.702e-05
bio.tools,level2_fine_grained,"Ear, nose and throat medicine",2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3ba880>,2,3.702e-05
bio.tools,level2_fine_grained,Medical biotechnology,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3ba5e0>,2,3.702e-05
bio.tools,level2_fine_grained,Hepatic and biliary medicine,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22e420>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbdace0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3b9620>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce91e00>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce92180>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce93760>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ce93e60>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd92a0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd9620>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258cbd97e0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3b99a0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258d3bb3e0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258c80c040>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258c80dfc0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258b7f99a0>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ac15b60>,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258ac15540>,2,3.702e-05
bio.tools,level2_fine_grained,Opthalmology,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258a8a9000>,2,3.702e-05
bio.tools,level2_fine_grained,Sequences,2,3.702e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e890e40>,1,1.851e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e891d20>,1,1.851e-05
bio.tools,level2_fine_grained,Metabolic engineering,1,1.851e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258fcbac00>,1,1.851e-05
bio.tools,level2_fine_grained,Data rescue,1,1.851e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258f3b3920>,1,1.851e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x752590d3eea0>,1,1.851e-05
bio.tools,level2_fine_grained,Proteome,1,1.851e-05
bio.tools,level2_fine_grained,<generator object candidate_biotools_records.<locals>.<genexpr> at 0x75258e22d380>,1,1.851e-05
bio.tools,level2_fine_grained,Probability,1,1.851e-05
bio.tools,level2_fine_grained,Amino acids,1,1.851e-05
bio.tools,level2_fine_grained,Peptides,1,1.851e-05
bio.tools,level2_fine_grained,Disease,1,1.851e-05
